Name,Website,Category,Billing Country
Al Jazeera America,http://america.aljazeera.com/,Other,United States
Apigee - United Kingdom,http://apigee.com/about/,Other,United Kingdom
AppliedQ,http://appliedq.com/,,United States
appular,http://appular.com/,Other,United States
Arby's Restaurants,http://arbys.com/,CPG,United States
Arlington Toyota,http://arlingtontoyota.com/,Auto,
Plan.net - Austria,http://at.plan-net.com/,Other,Austria
Au Bon Pain,http://aubonpain.com/,CPG,United States
Avazu - China,http://avazuinc.com/home/,Other,China
Avrett Free Ginsberg (AFG),http://avrettfreeginsberg.com/,Other,United States
Amazon Web Services - Germany,http://aws.amazon.com/de/,Other,Germany
Arizona Office of Tourism,http://azot.gov/,Travel,United States
bab.la GmbH - Germany,http://bab.la/,Other,Germany
BAR.COM,http://bar.com/,Other,United Kingdom
The Barbarian Group,http://barbariangroup.com/,Other,
Barefoot Proximity,http://barefootproximity.com/,Other,United States
BEG Bayrische Eisenbahngesellsch - Germany,http://beg.bahnland-bayern.de/,Travel,Germany
Bell Pottinger Sans Frontieres,http://bellpottinger-sansfrontieres.com/,Other,
Bermuda Tourism,http://bermudatourism.org/,Travel,
Betclic Everest,http://betcliceverestgroup.com/,Other,Italy
National Marrow Donor Program / Be The Match,http://bethematch.org/support-the-cause/donate-bone-marrow/join-the-marrow-registry/join-now/,Other,United States
BIGPOINT GmbH - Germany,http://bigpoint.net/,Other,Germany
Billups Design,http://billupsdesign.com/,Other,United States
Blue Cava,http://bluecava.com/,Other,United States
Blueprint Interactive,http://blueprintinteractive.com/,Other,United States
Bolt Insurance,http://boltinsuranceservices.com/,Financial Services,United States
Boo-Box - Brazil,http://boo-box.com/,Other,
Bord Gais - Ireland,http://bordgaisenergytheatre.ie/,Other,Ireland
The Boston Group,http://bostongroup.com/,Other,United States
Guy Degrenne - France,http://boutique.guydegrenne.fr/fr/,Other,France
Boutique Media - United Kingdom,http://boutiquemc.co.uk/,Other,United Kingdom
BPN - CHI,http://bpnww.com/,Other,United States
Eonline Brasil,http://br.eonline.com/,Other,Spain
Brandads,http://brandads.com/,Other,United States
Brand Cottage,http://brandcottage.com/,Other,United States
Bridgepoint Education,http://bridgepointeducation.com/,Other,United States
Brown Shoe Company,http://brownshoe.com/,Retail,United States
Butler Shine & Stern - NYC,http://bssp.com/,Other,
BTTW Spain,http://bttw.com/,Other,Spain
Burrell Communications,http://burrell.com/,Other,United States
Utah Governor's Office of Economic Development,http://business.utah.gov/,Financial Services,United States
Butler / Till,http://butlertill.com/,Other,United States
Cramer Krasselt,http://c-k.com/,Other,United States
Cramer Krasselt - Milwaukee,http://c-k.com/,Other,United States
BlackBerry (formerly Research in Motion Ltd.),http://ca.blackberry.com/,Retail,Canada
Cadreon United Kingdom,http://cadreon.co.uk/,Financial Services,United Kingdom
Carat Finland,http://carat.fi/,Other,Finland
Cardlytics,http://cardlytics.com/,Financial Services,United States
Carrera Sunglasses - United Kingdom,http://carreraworld.com/gb/sunglasses/,Retail,United Kingdom
Carrington College,http://carrington.edu/,Other,United States
Monte Carlo Game - United Kingdom,http://casino.mfortune.co.uk/,Other,United Kingdom
Cat's Pride,http://catspride.com/,Other,Canada
Civic Entertainment,http://cegny.com/,Other,United States
Plan.net - Switzerland,http://ch.plan-net.com/startseite.html,Other,Switzerland
National Geographic Channel,http://channel.nationalgeographic.com/,Other,United States
Havas Worldwide Chicago,http://chi.havasworldwide.com/,Other,United States
Starcom - China,http://china.starcomww.com/en/,Other,
ChoiceStream,http://choicestream.com/,Retail,
Clear LLC,http://clearconsultingservices.com/,Other,United States
ClickFuel,http://clickfuel.com/,Other,
Cognitive Match,http://cognitivematch.com/,Other,United States
Cognitive Match - United Kingdom,http://cognitivematch.com/,Other,United States
College Fitness,http://collegefitness.com/,Other,United States
Erwin M?ller - Germany,http://com.erwinmueller.com/shop/service-COM-en-EM/agb/agb/,Retail,Germany
Commerce Sciences,http://commercesciences.com/,Retail,United States
Ingersoll Rand,http://company.ingersollrand.com/ircorp/en/,Other,Ireland
Cond? Nast Verlag GmbH - Germany,http://condenast.de/flash/,Retail,Germany
Conill Advertising,http://conill.com/,Retail,United States
Connected Ventures,http://connected-ventures.com/,Financial Services,United States
Consortio Fashion Group,http://consortiofashiongroup.com/,Retail,Germany
Consumer Direct,http://consumerdirectcare.com/,Other,
Coors Light,http://coorslight.com/,CPG,United States
Core Audience,http://coreaudience.com/,Other,
Exxon Mobil Corporate,http://corporate.exxonmobil.com/,Other,United States
Exxon Mobil Marketing,http://corporate.exxonmobil.com/en/company/worldwide-operations/business-divisions/gas-and-power-marketing/,Other,United States
Ford Motor Company,http://corporate.ford.com/,Auto,United States
Cortefiel - Spain,http://cortefiel.com/,Retail,Spain
CPC Strategy,http://cpcstrategy.com/,Other,United States
Craft DC,http://craftdc.com/,Retail,
Craniumz.com,http://craniumz.com/,Other,United States
Catholic Relief Services,http://crs.org/,Other,United States
Cuisine Addict - France,http://cuisine-addict.com/,Other,France
DailyDealsForMoms.com,http://dailydealsformoms.com/,Retail,United States
Danone GesmbH - Austria,http://danone.at/,CPG,Germany
Datran,http://datran.com/,Other,
Dave - United Kingdom,http://dave.uktv.co.uk/,Other,United Kingdom
DBA Worldwide,http://dbaworldwide.com/,Other,United States
BIC - Germany,http://de.bicworld.com/,Retail,Germany
BuyVIP GmbH - Germany,http://de.buyvip.com/,Retail,Germany
DaWanda GmbH - Germany,http://de.dawanda.com/,Other,Germany
