_ - uri,_ - rank,_ - name,_ - country,_ - profits,_ - marketValue,_ - ceo,_ - revenue,_ - headquarters,_ - industry,_ - state
ptt-pcl,337,PTT PCL,Thailand,560.5,25270,Tevin Vongvanich,59141,Thailand,Oil & Gas Operations,
pvh,1139,PVH,United States,572.4,7809,Emanuel Chirico,8020,New York,Apparel/Accessories,New York
pacwest-bancorp,1911,PacWest Bancorp,United States,313.8,4900,Matthew Wagner,1037,California,Regional Banks,California
paccar,430,Paccar,United States,1604,19856,Ronald Armstrong,19115,Washington,Heavy Equipment,Washington
pacific-corp,1747,Pacific Corp,South Korea,230.1,12095,Jung-Ki Baek,5002,South Korea,,
packaging-corp-amer,1680,Packaging Corp of America,United States,444.5,6190,Mark Kowlzan,5717,Illinois,,Illinois
palo-alto-networks,1995,"Palo Alto Networks,",United States,-193.1,13125,Mark McLaughlin,1150,California,Communications Equipment,California
panasonic,245,Panasonic,Japan,1646.1,22949,Shusaku Nagae,63330,Japan,Consumer Electronics,
pandora,1373,Pandora,Denmark,546.2,14443,Anders Friis,2488,Denmark,Household/Personal Care,
pang-da-automobile-trade,1988,Pang Da Automobile Trade,China,37.5,2874,Qing Pang,8591,China,Specialty Stores,
parker-hannifin,752,Parker-Hannifin,United States,842.8,15403,Thomas Williams,11882,Ohio,Other Industrial Equipment,Ohio
partners-group-holding,1657,Partners Group Holding,Switzerland,411.2,10723,André Frei,843,Switzerland,Investment Services,
paypal,423,PayPal,United States,1326,48853,Daniel Schulman,9145,California,Consumer Financial Services,California
paychex,1195,Paychex,United States,739.9,18824,Martin Mucci,2890,New York,Business & Personal Services,New York
pearson,1269,Pearson,United Kingdom,-476.7,9799,John Fallon,6826,United Kingdom,Printing & Publishing,
pegatron,864,Pegatron,Taiwan,749.9,5494,Chien Cheng,38222,Taiwan,Electronics,
pembina-pipeline,1777,Pembina Pipeline,Canada,317.3,11244,Michael Dilger,3623,Canada,Oil & Gas Operations,
penske-automotive,1483,Penske Automotive,United States,326.1,3105,Roger Penske,19257,Michigan,Specialty Stores,Michigan
pentair,1124,Pentair,United Kingdom,475.8,10350,Randall Hogan,6449,United Kingdom,Other Industrial Equipment,
peoples-insurance-company,180,People's Insurance Company,China,3120.2,18268,Fan Lin,63241,China,Property & Casualty Insurance,
peoples-united-financial,1743,People's United Financial,United States,263,5000,John Barnes,1407,Connecticut,Thrifts & Mortgage Finance,Connecticut
pepsico,90,PepsiCo,United States,5162,147302,Indra Nooyi,62698,New York,Beverages,New York
performance-food-group,1770,Performance Food Group,United States,56.5,2595,George Holm,15270,Virginia,,Virginia
permanent-tsb-group,1905,Permanent TSB Group,Ireland,-471.3,1452,Jeremy Masding,828,Ireland,Investment Services,
pernod-ricard,454,Pernod Ricard,France,1063.5,28667,Alexandre Ricard,9864,France,Beverages,
perrigo,1172,Perrigo,Ireland,-32.9,17378,John Hendrickson,5350,Ireland,Pharmaceuticals,
persimmon,1368,Persimmon,United Kingdom,797.4,8388,Jeffrey Fairburn,4433,United Kingdom,Construction Services,
petro-rabigh,1888,Petro Rabigh,Saudi Arabia,-202.2,3018,Abdullah Al-Suwailem,6802,Saudi Arabia,Diversified Chemicals,
petrochina,17,PetroChina,China,5704.3,203848,Wang Dongjin,274608,China,Oil & Gas Operations,
petrobras,411,Petrobras,Brazil,-10428.9,42068,Aldemir Bendine,96290,Brazil,Oil & Gas Operations,
petronas-chemicals,1293,Petronas Chemicals,Malaysia,711.6,13749,Sazali Hamzah,3462,Malaysia,Specialized Chemicals,
petronas-gas,1487,Petronas Gas,Malaysia,508.3,11166,Yusa' Hassan,1140,Malaysia,Natural Gas Utilities,
