_ - uri,_ - rank,_ - name,_ - country,_ - profits,_ - marketValue,_ - ceo,_ - revenue,_ - headquarters,_ - industry,_ - state
3m,200,3M,United States,4833,102175,Inge Thulin,30274,Minnesota,Conglomerates,Minnesota
3i-group,1562,3i Group,United Kingdom,925,6685,Simon Borrows,485,United Kingdom,Investment Services,
77-bank,1644,77 Bank,Japan,164.5,1417,Hiroshi Kamata,853,Japan,Regional Banks,
aac-technologies-holdings,1646,AAC Technologies Holdings,China,493.3,8826,Benjamin Zhengmin Pan,1864,China,,
abb,225,ABB,Switzerland,1921.4,48059,Ulrich Spiesshofer,35529,Switzerland,Conglomerates,
aecom-technology,1426,AECOM Technology,United States,-36.2,4746,Michael Burke,18077,California,Construction Services,California
aes,885,AES,United States,306,7376,Andrés Weilert,14942,Virginia,Electric Utilities,Virginia
agl-energy,1442,AGL Energy,Australia,-404.5,9524,Andrew Vesey,8326,Australia,Electric Utilities,
agl-resources,1575,AGL Resources,United States,353,7835,Andrew Evans,3934,Georgia,Natural Gas Utilities,Georgia
aia-group,126,AIA Group,Hong Kong,2691.3,72696,Mark Tucker,23652,Hong Kong,Life & Health Insurance,
alfa,1061,ALFA,Mexico,237.9,9374,Armando Sada,16261,Mexico,Conglomerates,
amp,510,AMP,Australia,729.4,13147,Craig Meller,10309,Australia,Investment Services,
anz,84,ANZ,Australia,5866.8,54888,Shayne Elliott,31099,Australia,Major Banks,
arm-holdings,1300,ARM Holdings,United Kingdom,521.4,18979,Simon Segars,1532,United Kingdom,Semiconductors,
asml-holding,579,ASML Holding,Netherlands,1795.9,41325,Peter Wennink,6972,Netherlands,Semiconductors,
att,12,AT&T,United States,13244,234177,Randall Stephenson,146801,Texas,Telecommunications services,Texas
atos,1023,ATOS,France,450.4,8997,Thierry Breton,11849,France,Computer Services,
au-optronics,1625,AU Optronics,Taiwan,155.3,2949,Shuang Peng,11348,Taiwan,Electronics,
avic-capita,1347,AVIC Capita,China,367.9,8087,Hui Gu,1323,China,,
axa-group,26,AXA Group,France,5890.6,61857,Henri De Castries,129808,France,Diversified Insurance,
aareal-bank,1381,Aareal Bank,Germany,389.2,2121,Hermann Merkens,1448,Germany,Thrifts & Mortgage Finance,
abbvie,158,AbbVie,United States,5117,99361,Richard Gonzalez,22859,Illinois,Pharmaceuticals,Illinois
abbott-laboratories,235,Abbott Laboratories,United States,2411,64940,Miles White,20393,Illinois,Pharmaceuticals,Illinois
abertis,1144,Abertis,Spain,-916.3,15032,Francisco Massanet,4854,Spain,Other Transportation,
aboitiz-equity-ventures,1955,Aboitiz Equity Ventures,Philippines,388.3,7739,Erramon Aboitiz,2444,Philippines,Conglomerates,
abu-dhabi-commercial,761,Abu Dhabi Commercial Bank,United Arab Emirates,1305.6,10979,Ala'A Khalil Eraiqat,2783,United Arab Emirates,Regional Banks,
abu-dhabi-islamic-bank,1567,Abu Dhabi Islamic Bank,United Arab Emirates,433.5,3760,Tirad Mahmoud,1572,United Arab Emirates,Regional Banks,
accenture,289,Accenture,Ireland,3676.7,71551,Pierre Nanterme,33503,Ireland,Computer Services,
acciona,1682,Acciona,Spain,229.6,4345,José Entrecanales Domecq,7257,Spain,Construction Services,
accor,1588,Accor,France,229.6,10793,Sébastien Bazin,6189,France,Hotels & Motels,
actelion,1272,Actelion,Switzerland,586.8,17947,Jean-Paul Clozel,2178,Switzerland,Pharmaceuticals,
activision-blizzard,842,Activision Blizzard,United States,880,25468,Robert Kotick,4578,California,Recreational Products,California
adani-enterprises,1993,Adani Enterprises,India,251.1,1358,Rajesh Adani,10566,India,Trading Companies,
adecco,1071,Adecco,Switzerland,8.9,11533,Alain Dehaze,24402,Switzerland,Business & Personal Services,
adidas,577,Adidas,Germany,738.5,25198,Herbert Hainer,18757,Germany,Apparel/Accessories,
admiral-group,1796,Admiral Group plc,United Kingdom,458.3,7583,Henry Allan Engelhardt,1375,United Kingdom,Property & Casualty Insurance,
adobe-systems,837,Adobe Systems,United States,799,47415,Shantanu Narayen,5035,California,Software & Programming,California
advance-auto-parts,1066,Advance Auto Parts,United States,471.7,11648,Thomas Greco,9737,Virginia,Specialty Stores,Virginia
advanced-info-service,1104,Advanced Info Service,Thailand,1142.4,13092,Somchai Lertsutiwong,4531,Thailand,Telecommunications services,
advanced-semiconductor,1050,Advanced Semiconductor,Taiwan,613.4,8280,Chien Chang,8922,Taiwan,Semiconductors,
aegon,343,Aegon,Netherlands,687.1,13000,Alexander Wynaendts,32983,Netherlands,Diversified Insurance,
aena,881,Aena,Spain,924.3,20132,José Vargas Gómez,3827,Spain,Other Transportation,
aeon,626,Aeon,Japan,49.8,12979,Motoya Okada,59968,Japan,Food Retail,
aercap-holdings,763,AerCap Holdings,Netherlands,1178.7,8300,Aengus Kelly,5482,Netherlands,Other Transportation,
aeroports-de-paris,1360,Aeroports de Paris,France,476.8,11974,Augustin de Beaune,3234,France,Other Transportation,
aetna,168,Aetna,United States,2390.2,40248,Mark Bertolini,60368,Connecticut,Managed Health Care,Connecticut
affiliated-managers-group,1566,Affiliated Managers Group,United States,516,9600,Sean Healey,2493,Massachusetts,Investment Services,Massachusetts
aflac,204,Aflac,United States,2533,28461,Dan Amos,21036,Georgia,Life & Health Insurance,Georgia
ageas,511,Ageas,Netherlands,854.1,8768,Bart De Smet,13382,Netherlands,Diversified Insurance,
agile-property-holdings,1690,Agile Property Holdings,Hong Kong,250.6,2242,Zhuo Chen,6831,Hong Kong,Real Estate,
agilent-technologies,1464,Agilent Technologies,United States,449,13701,Michael Mcmullen,4040,California,Electronics,California
agricultural-bank-of-china,3,Agricultural Bank of China,China,28808.7,152736,Ying Che,131888,China,Regional Banks,
agrium,648,Agrium,Canada,972.5,11920,Charles Magro,14600,Canada,Specialized Chemicals,
ahli-united-bank,1361,Ahli United Bank,Bahrain,523.5,4166,Adel Shafe El-Labban,1439,Bahrain,Regional Banks,
air-canada,1910,Air Canada,Canada,236.8,1849,Calin Rovinescu,10840,Canada,Airline,
air-france-klm,1109,Air France-KLM,France,130.9,2682,Alexandre Juniac,28897,France,Airline,
air-liquide,313,Air Liquide,France,1947.7,40464,Benoît Potier,18164,France,Specialized Chemicals,
air-products-chemicals,540,Air Products & Chemicals,United States,1316.9,31942,Seifollah Ghasemi,9690,,Specialized Chemicals,
airgas,1536,Airgas,United States,347.9,10277,Michael Molinini,5321,Pennsylvania,Specialized Chemicals,Pennsylvania
airports-of-thailand,1312,Airports of Thailand,Thailand,567.3,16553,Prasong Poontaneat,1320,Thailand,Other Transportation,
aisin-seiki,555,Aisin Seiki,Japan,763,11375,Kanshiro Toyoda,26233,Japan,Auto & Truck Parts,
ajinomoto,875,Ajinomoto,Japan,722.9,13566,Takaaki Nishii,9734,Japan,Food Processing,
akamai-technologies,1999,Akamai Technologies,United States,321.4,9026,Frank Leighton,2197,Massachusetts,Computer Services,Massachusetts
akbank,534,Akbank,Turkey,1230.9,11960,Hakan Binbasgil,7061,Turkey,Regional Banks,
akzo-nobel,522,Akzo Nobel,Netherlands,1168.8,17668,Ton Büchner,16222,Netherlands,Diversified Chemicals,
al-rajhi-bank,544,Al Rajhi Bank,Saudi Arabia,2033.9,25478,Stefano Bertamini,4000,Saudi Arabia,Regional Banks,
alaska-air-group,1180,Alaska Air Group,United States,848,9518,Bradley Tilden,5598,Washington,Airline,Washington
alcoa,757,Alcoa,United States,-300,13675,Klaus-Christian Kleinfeld,21673,New York,Aluminum,New York
aldar-properties,1708,Aldar Properties,United Arab Emirates,704.1,5972,Mohammed Al-Mubarak,1334,United Arab Emirates,Real Estate,
alexion-pharmaceuticals,1356,Alexion Pharmaceuticals,United States,144.4,35751,David Hallal,2543,Connecticut,Biotechs,Connecticut
alfa-laval,1697,Alfa Laval,Sweden,455,7012,Tom Eriksson,4711,Sweden,Other Industrial Equipment,
alfresa-holdings,1521,Alfresa Holdings,Japan,237.3,4633,Denroku Ishiguro,21044,Japan,Pharmaceuticals,
alibaba,174,Alibaba,China,10993.8,200718,Yong Zhang,14964,China,Business & Personal Services,
alinma-bank,1557,Alinma Bank,Saudi Arabia,404.4,5384,Abdul Aziz Al-Fares,873,Saudi Arabia,Regional Banks,
all-nippon-airways,781,All Nippon Airways,Japan,497.3,9946,Shinichiro Ito,14746,Japan,Airline,
allahabad-bank,1834,Allahabad Bank,India,106.2,543,Rakesh Sethi,3577,India,Regional Banks,
alleghany,1048,Alleghany,United States,560.3,7920,Weston Hicks,5110,New York,Property & Casualty Insurance,New York
allergan,135,Allergan,United States,3915.2,90539,Brenton Saunders,18276,California,Pharmaceuticals,California
alliance-data-systems,860,Alliance Data Systems,United States,545.3,12218,Edward Heffernan,6515,Texas,Business & Personal Services,Texas
alliant-energy,1644,Alliant Energy,United States,388.4,7847,Patricia Kampling,3254,Wisconsin,Electric Utilities,Wisconsin
allianz,21,Allianz,Germany,7337.7,79725,Oliver Bäte,115424,Germany,Diversified Insurance,
allied-irish-banks,538,Allied Irish Banks,Ireland,1530.3,27460,Gerald Byrne,4080,Ireland,Regional Banks,
allstate,202,Allstate,United States,2171,24685,Thomas Wilson,35586,Illinois,Diversified Insurance,Illinois
ally-financial,493,Ally Financial,United States,1289,8942,Jeffrey Brown,10124,Michigan,,Michigan
almarai,1472,Almarai,Saudi Arabia,497.8,11946,Georges Schorderet,3788,Saudi Arabia,Food Processing,
alpha-bank,1626,Alpha Bank,Greece,-1521.1,3898,Demetrios Mantzounis,3820,Greece,Regional Banks,
alphabet,27,Alphabet,United States,17040,500077,Larry Page,77231,California,Computer Services,California
alps-electric-co,1977,Alps Electric Co,Japan,358.9,3334,Masataka Kataoka,6461,Japan,Electronics,
alrosa,1673,Alrosa,Russia,500.4,8346,Andrey Zharkov,3663,Russia,Diversified Metals & Mining,
alstom,1281,Alstom,France,-1171.6,5658,Henri Poupart-Lafarge,7341,France,Conglomerates,
altice,678,Altice,Luxembourg,-354.4,17052,Dexter Goei,16135,Luxembourg,,
altria-group,226,Altria Group,United States,5231,118430,Martin Barrington,18854,Virginia,Tobacco,Virginia
aluminum-corp-of-china,909,Aluminum Corp of China,China,30.2,8854,Hong Ge,19606,China,Aluminum,
ambank-group,1535,AmBank Group,Malaysia,394.2,3564,Mohamed Bin Mahmood,1851,Malaysia,Regional Banks,
amtrust-financial-services,1495,AmTrust Financial Services,United States,503.3,4561,Barry Zyskind,4694,New York,,New York
amadeus-it-group,1110,Amadeus IT Holdings,Spain,761,19607,Luis Maroto,4339,Spain,Software & Programming,
amazon,237,Amazon.com,United States,596,292622,Jeffrey Bezos,107007,Washington,Internet & Catalog Retail,Washington
ambac-financial-group,1492,Ambac Financial Group,United States,493.4,761,Nader Tavakoli,638,New York,Diversified Insurance,New York
amcor,966,Amcor,Australia,661.9,13644,Ron Delia,9333,Australia,Containers & Packaging,
amdocs,1784,Amdocs,United States,415,8509,Robert Minicucci,3658,Missouri,Software & Programming,Missouri
amerco,1908,Amerco,United States,445.9,7002,"Edward Shoen,",3235,Nevada,Rental & Leasing,Nevada
ameren,857,Ameren,United States,630,11295,Warner Baxter,6098,Missouri,Electric Utilities,Missouri
american-airlines-group,210,American Airlines Group,United States,7610,22092,William Parker,40990,Texas,,Texas
american-capital-agency,1523,American Capital Agency,United States,215,6174,Gary Kain,684,Maryland,Real Estate,Maryland
american-electric,272,American Electric,United States,1793.8,30810,Nicholas Akins,16552,Ohio,Electric Utilities,Ohio
american-equity-investment,1706,American Equity Investment,United States,219.8,1339,John Matovina,1876,Iowa,Life & Health Insurance,Iowa
american-express,95,American Express,United States,5026,63184,Kenneth Chenault,34594,New York,Consumer Financial Services,New York
american-financial-group,1079,American Financial Group,United States,352,6036,Carl Lindner,6273,Ohio,Diversified Insurance,Ohio
american-international-group,87,American International Group,United States,2179,63709,Peter Hancock,58330,New York,Diversified Insurance,New York
american-tower,703,American Tower,United States,685.1,44166,James Taiclet,4772,Massachusetts,Real Estate,Massachusetts
american-water-works,1171,American Water Works,United States,475.9,12320,Susan Story,3159,New Jersey,Diversified Utilities,New Jersey
ameriprise-financial,334,Ameriprise Financial,United States,1562,16818,James Cracchiolo,12205,Minnesota,Investment Services,Minnesota
amerisourcebergen,493,AmerisourceBergen,United States,395.4,20714,Steven Collis,139082,Pennsylvania,Pharmaceuticals,Pennsylvania
ametek,1391,Ametek,United States,590.9,11983,David Zapico,3974,Pennsylvania,Electrical Equipment,Pennsylvania
amgen,131,Amgen,United States,6939,122398,Robert Bradway,21416,California,Biotechs,California
amorepacific,1241,Amorepacific,South Korea,510.3,20751,Sang-Bae Shim,4212,South Korea,Household/Personal Care,
amphenol,1035,Amphenol,United States,740.2,17520,Richard Norwitt,5693,Connecticut,Electronics,Connecticut
america-movil,142,América Móvil,Mexico,2207.5,51930,Daniel Aboumrad,56311,Mexico,Telecommunications services,
anadarko-petroleum,756,Anadarko Petroleum,United States,-6694,27115,Robert Walker,9485,Texas,Oil & Gas Operations,Texas
analog-devices,1234,Analog Devices,United States,682.6,18130,Vincent Roche,3433,Massachusetts,Semiconductors,Massachusetts
andhra-bank,1947,Andhra Bank,India,107.2,552,Suresh Patel,3073,India,Regional Banks,
andritz,1925,Andritz,Austria,296.8,5706,Wolfgang Leitner,7072,Austria,Other Industrial Equipment,
angang-steel,1740,Angang Steel,China,-720,4641,Xiao Zhang,8371,China,Iron & Steel,
anglo-american,715,Anglo American,United Kingdom,-5625.6,13599,Mark Cutifani,20465,United Kingdom,Diversified Metals & Mining,
anheuser-busch-inbev,56,Anheuser-Busch InBev,Belgium,8267.2,204589,Carlos De Brito,43604,Belgium,Beverages,
anhui-conch-cement,719,Anhui Conch Cement,China,1199.8,13426,Bin Wu,8042,China,Construction Materials,
annaly-capital-management,969,Annaly Capital Management,United States,466.6,9461,Kevin Keyes,1159,New York,Real Estate,New York
antarchile,1151,AntarChile,Chile,310.1,4775,Jorge Fouqué,18079,Chile,Investment Services,
antero-resources,1214,Antero Resources,United States,941.4,7960,Paul Rady,2430,Colorado,,Colorado
anthem,152,Anthem,United States,2560,38748,Joseph Swedish,79240,Indiana,Managed Health Care,Indiana
aon,420,Aon,United Kingdom,1385,27881,Gregory Case,11685,United Kingdom,Insurance Brokers,
aozora-bank,1489,Aozora Bank,Japan,368.1,4238,Shinsuke Baba,974,Japan,Regional Banks,
apache,1046,Apache,United States,-23119,21272,John Christmann,6551,Texas,Oil & Gas Operations,Texas
apple,8,Apple,United States,53731,585951,Timothy Cook,233273,,Computer Hardware,
applied-materials,634,Applied Materials,United States,1315,23858,Gary Dickerson,9557,California,Semiconductors,California
arab-bank,1297,Arab Bank,Jordan,430.6,5471,Nehme Sabbagh,2296,Jordan,Regional Banks,
arab-banking,1977,Arab Banking,Bahrain,180,1228,Khaled Ramadan Kawan,1625,Bahrain,Regional Banks,
arab-national-bank,1114,Arab National Bank,Saudi Arabia,784.7,5453,Robert Eid,1546,Saudi Arabia,Regional Banks,
aramark,1341,Aramark,United States,243.8,8218,Eric Foss,14337,Pennsylvania,,Pennsylvania
arca-continental,1400,Arca Continental,Mexico,456.3,11340,Francisco Garza Egloff,4814,Mexico,Beverages,
arcelormittal,568,ArcelorMittal,Luxembourg,-8022,17501,Lakshmi Mittal,63534,Luxembourg,Iron & Steel,
arch-capital-group,1145,Arch Capital Group,Bermuda,537.7,8645,Constantine Iordanou,4037,Bermuda,Property & Casualty Insurance,
archer-daniels-midland,252,Archer Daniels Midland,United States,1849,23263,Juan Luciano,67621,Illinois,Food Processing,Illinois
areva,1724,Areva,France,-2059.3,1804,Bernard Fontana,4656,France,Diversified Utilities,
arkema,1650,Arkema,France,316,5920,Thierry Le Hénaff,8520,France,Diversified Chemicals,
aroundtown-property-holdings,1940,Aroundtown Property Holdings,Germany,761.7,2901,Shmuel Mayo,139,Germany,Real Estate,
arrow-electronics,996,Arrow Electronics,United States,497.7,5829,Michael Long,23282,Colorado,Electronics,Colorado
arthur-j-gallagher,1531,Arthur J. Gallagher,United States,356.8,7976,J. Gallagher,5360,Illinois,Insurance Brokers,Illinois
asahi-glass,1095,Asahi Glass,Japan,354.4,6917,Takuya Shimamura,10955,Japan,Construction Materials,
asahi-group-holdings,671,Asahi Group Holdings,Japan,631.3,15965,Naoki Izumiya,15342,Japan,Beverages,
asahi-kasei,684,Asahi Kasei,Japan,735.3,10098,Ichiro Itoh,16229,Japan,Diversified Chemicals,
ashikaga-holdings,1705,Ashikaga Holdings,Japan,159,1016,Satoshi Fujisawa,796,Japan,Regional Banks,
ashland,1695,Ashland,United States,353,7324,William Wulfsohn,5160,Kentucky,Specialized Chemicals,Kentucky
ashtead-group,1824,Ashtead Group,United Kingdom,567.4,6456,Geoffrey Drabble,3680,United Kingdom,,
aspen-pharmacare-holdings,1590,Aspen Pharmacare Holdings,South Africa,474.1,10134,Stephen Bradley,2786,South Africa,Pharmaceuticals,
assa-abloy,804,Assa Abloy,Sweden,911.9,22491,Johan Molin,8072,Sweden,Other Industrial Equipment,
associated-banc-corp,1979,Associated Banc-Corp,United States,182.7,2737,Philip Flynn,1101,Wisconsin,Regional Banks,Wisconsin
associated-british-foods,475,Associated British Foods,United Kingdom,1128.4,35723,Krzysztof Gbyl,19163,United Kingdom,Food Processing,
assurant,1293,Assurant,United States,141.6,5057,Alan Colberg,10329,New York,Diversified Insurance,New York
assured-guaranty,1448,Assured Guaranty,Bermuda,1056,3601,Dominic Frederico,2207,Bermuda,Diversified Insurance,
astellas-pharma,533,Astellas Pharma,Japan,1533.6,31293,Yoshihiko Hatanaka,11235,Japan,Pharmaceuticals,
astrazeneca,175,AstraZeneca,United Kingdom,2823.7,75019,Pascal Soriot,24714,United Kingdom,Pharmaceuticals,
asustek-computer,1077,Asustek Computer,Taiwan,538.4,6610,Chen Shen,14875,Taiwan,Computer Hardware,
atlantia,610,Atlantia,Italy,945.9,22210,Giovanni Castellucci,5806,Italy,Other Transportation,
atlas-copco,566,Atlas Copco,Sweden,1388.9,32762,Ronnie Leten,12110,Sweden,Other Industrial Equipment,
attijariwafa-bank,1148,Attijariwafa Bank,Morocco,461.4,7160,Mohamed Kettani,3230,Morocco,Regional Banks,
aurubis,1900,Aurubis,Germany,92,2378,Juergen Schachler,11930,Germany,Diversified Metals & Mining,
autonation,1262,AutoNation,United States,427,5102,Michael Jackson,21037,Florida,Specialty Stores,Florida
autozone,754,AutoZone,United States,1196.9,23023,William Rhodes,10427,Tennessee,Specialty Stores,Tennessee
autodesk,1981,Autodesk,United States,-292.9,13366,Carl Bass,2472,California,Software & Programming,California
autoliv,1169,Autoliv,Sweden,456.8,9938,Jan Carlson,9170,Sweden,Auto & Truck Parts,
automatic-data-processing,354,Automatic Data,United States,1426.3,41010,"John Jones,",11247,New Jersey,Business & Personal Services,New Jersey
avalonbay-communities,918,Avalonbay Communities,United States,740.3,24712,Timothy Naughton,1852,Virginia,Real Estate,Virginia
avis-budget-group,1421,Avis Budget Group,United States,313,2386,Larry De,8502,New Jersey,Rental & Leasing,New Jersey
aviva,187,Aviva,United Kingdom,1402.5,25717,Patrick Domit,35974,United Kingdom,Life & Health Insurance,
avnet,1006,Avnet,United States,566.5,5756,Richard Hamada,27351,Arizona,Electronics,Arizona
axiata-group,1028,Axiata Group,Malaysia,653.3,13239,Jamaludin Ibrahim,5086,Malaysia,Communications Equipment,
axis-bank,484,Axis Bank,India,1218.1,17003,Shikha Sharma,7289,India,Regional Banks,
axis-capital-holdings,1450,Axis Capital Holdings,Bermuda,641.6,5103,Albert Benchimol,4213,Bermuda,Diversified Insurance,
ayala,1224,Ayala Corporation,Philippines,489.3,10462,Jaime Zobel de Ayala,3822,Philippines,Conglomerates,
bae-systems,346,BAE Systems,United Kingdom,1402.5,22378,Ian King,25647,United Kingdom,Aerospace & Defense,
baic-motor,987,BAIC Motor,China,529.8,5415,He Xu,13369,China,Auto & Truck Manufacturers,
basf,94,BASF,Germany,4421.3,73229,Kurt Bock,78122,Germany,Diversified Chemicals,
bbt,274,BB&T,United States,2123,29096,Kelly King,10583,North Carolina,Major Banks,North Carolina
bbmg,1349,BBMG,China,320.5,6463,Wei Jiang,6153,China,Construction Materials,
bbva-banco-bilbao-vizcaya,115,BBVA-Banco Bilbao Vizcaya,Spain,2929.8,46875,"D. Carlos Vila,",25819,Spain,Regional Banks,
bce,308,BCE,Canada,2093.2,39921,George Cope,16816,Canada,Telecommunications services,
bci-banco-credito,1306,BCI-Banco Credito,Chile,505.1,5161,Eugenio Carvajal,2760,Chile,Regional Banks,
bcv-group,1377,BCV Group,Switzerland,349.3,6077,Pascal Kiener,1322,Switzerland,Regional Banks,
bekb-bcbe,1982,BEKB-BCBE,Switzerland,136.3,1871,Hanspeter Rüfenacht,595,Switzerland,Regional Banks,
bhp-billiton,455,BHP Billiton,Australia,-6080.7,80324,Andrew Mackenzie,30463,Australia,Diversified Metals & Mining,
bmf-bovespa,1539,BM&F Bovespa,Brazil,659.3,8428,Edemir Pinto,664,Brazil,Investment Services,
bmce-banque-marocaine,1980,BMCE Bank,Morocco,200.4,3750,Othman Benjelloun,1793,Morocco,Regional Banks,
bmw-group,45,BMW Group,Germany,7062.7,60382,Harald Krüger,102215,Germany,Auto & Truck Manufacturers,
bnp-paribas,24,BNP Paribas,France,7423.1,66847,Jean-Laurent Bonnafé,74910,France,Major Banks,
boe-technology-group,856,BOE Technology Group,China,435.3,12933,Chen Yanshun,7666,China,Electronics,
bok-financial,1773,BOK Financial,United States,285.2,4066,Steven Bradshaw,1395,Oklahoma,Regional Banks,Oklahoma
bp,370,BP,United Kingdom,-6465.2,98954,Robert Dudley,218702,United Kingdom,Oil & Gas Operations,
bpi,1242,BPI,Philippines,400.5,7586,Cezar Consing,1604,Philippines,Regional Banks,
brf-brasil-foods,891,BRF,Brazil,874.5,10892,Pedro Faria,9639,Brazil,Food Processing,
bs-financial-group,1279,BS Financial Group,South Korea,429,2828,Se-Hwan Sung,3530,South Korea,Regional Banks,
bt-group,207,BT Group,United Kingdom,3853.1,62441,Gavin Patterson,27335,United Kingdom,Telecommunications services,
byd,721,BYD,China,447.1,20057,Wang Chuan-Fu,12489,China,Auto & Truck Manufacturers,
babcock-international-group,1543,Babcock International Group,United Kingdom,417.3,6988,Peter Rogers,6323,United Kingdom,Business & Personal Services,
baidu,349,Baidu,China,5282.2,66051,Robin Li,10545,China,Computer Services,
bajaj-auto,1527,Bajaj Auto,India,494.8,10964,Rajivnayan Bajaj,3510,India,Recreational Products,
baker-hughes,798,Baker Hughes,United States,-1967,20331,Martin Craighead,15742,Texas,Oil Services & Equipment,Texas
ball,1371,Ball,United States,280.9,10723,John Hayes,7994,Colorado,Containers & Packaging,Colorado
banca-carige,1886,Banca CARIGE,Italy,-112.9,693,Piero Montani,1325,Italy,Regional Banks,
banca-mps,1327,Banca MPS,Italy,-124.2,2248,Fabrizio Viola,5179,Italy,Regional Banks,
banca-mediolanum,1205,Banca Mediolanum,Italy,486.4,5930,Massimo Doris,1879,Italy,Life & Health Insurance,
banca-popolare-dellemilia,1658,Banca Popolare dell'Emilia,Italy,244.7,2819,Alessandro Vandelli,3273,Italy,Regional Banks,
banca-popolare-di-milano,1502,Banca Popolare di Milano,Italy,320.4,3267,Mario Anolli,2205,Italy,Regional Banks,
banca-popolare-di-sondrio,1799,Banca Popolare di Sondrio,Italy,143.4,1695,Mario Pedranzini,1572,Italy,Regional Banks,
banca-transilvania,1830,Banca Transilvania,Romania,610.9,2012,Omer Tetik,881,Romania,Regional Banks,
banco-bpi,1712,Banco BPI,Portugal,262.1,1766,Artur Eduardo Silva,2821,Portugal,Regional Banks,
banco-bradesco,78,Banco Bradesco,Brazil,5146.1,41505,Luiz Trabuco Cappi,65869,Brazil,Regional Banks,
banco-comercial-portugues,1524,Banco Comercial Portugues,Portugal,261.1,2680,Nuno Da Silva Amado,4156,Portugal,Regional Banks,
banco-continental,1585,Banco Continental,Peru,430.5,3946,Eduardo Villacorta,1781,Peru,Regional Banks,
banco-davivienda,1514,Banco Davivienda,Colombia,447.2,4132,Carlos Uribe,3970,Colombia,Regional Banks,
banco-de-venezuela,948,Banco De Venezuela,Venezuela,2542.1,1238,Rodolfo Torres,3472,Venezuela,Regional Banks,
banco-occidental,1541,Banco Occidental,Venezuela,532.8,417,Victor Vargas,3095,Venezuela,Regional Banks,
banco-popolare,1189,Banco Popolare,Italy,476.9,2542,Pier Saviotti,3900,Italy,Regional Banks,
banco-popular-espanol,1206,Banco Popular Espanol,Spain,116.9,6218,Francisco Martín,5206,Spain,Regional Banks,
banco-santander,37,Banco Santander,Spain,6622.3,72526,José Álvarez,49786,Spain,Major Banks,
banco-de-chile,1757,Banco de Chile,Chile,147.3,3664,Arturo Quiroz,3878,Chile,Regional Banks,
banco-de-sabadell,546,Banco de Sabadell,Spain,785.6,10760,Jaime Romojaro,7970,Spain,Regional Banks,
banco-del-caribe-ca-banco-universal,1735,"Banco del Caribe, C.A. Banco Universal",Venezuela,502,82,Juan Dao,2017,Venezuela,Regional Banks,
banco-do-brasil,153,Banco do Brasil,Brazil,4310.8,17022,Alexandre Abreu,65553,Brazil,Regional Banks,
bancolombia,733,Bancolombia,Colombia,916.1,8964,Juan Uribe,5601,Colombia,Regional Banks,
bangkok-bank,779,Bangkok Bank,Thailand,945.2,8880,Chartsiri Sophonpanich,4382,Thailand,Regional Banks,
bank-aljazira,1822,Bank Aljazira,Saudi Arabia,384.2,1489,Nabil Al-Hoshan,789,Saudi Arabia,Regional Banks,
bank-audi,1453,Bank Audi,Lebanon,395.5,2336,Samir Hanna,2959,Lebanon,Regional Banks,
bank-central-asia,620,Bank Central Asia,Indonesia,1344.9,24520,Jahja Setiaatmadja,4411,Indonesia,Regional Banks,
bank-hapoalim,888,Bank Hapoalim,Israel,793.3,6953,Ari Pinto,4095,Israel,Regional Banks,
bank-leumi,1025,Bank Leumi,Israel,726.9,5702,Rakefet Russak-Aminoach,3813,Israel,Regional Banks,
bank-mandiri,462,Bank Mandiri,Indonesia,1517.8,17636,Kartika Wirjoatmodjo,7512,Indonesia,Regional Banks,
bank-muscat,1425,Bank Muscat,Oman,456.9,2594,Abdulrazak Issa,1346,Oman,Regional Banks,
bank-negara-indonesia,1063,Bank Negara Indonesia,Indonesia,679.5,6917,Achmad Baiquni,3625,Indonesia,Regional Banks,
bank-rakyat-indonesia,429,Bank Rakyat Indonesia,Indonesia,1895.7,20375,Asmawi Syam,7128,Indonesia,Regional Banks,
bank-of-america,11,Bank of America,United States,15844,156021,Brian Moynihan,91496,North Carolina,Major Banks,North Carolina
bank-of-baroda,801,Bank of Baroda,India,639.8,5602,P.S. Jayakumar,8237,India,Regional Banks,
bank-of-beijing,254,Bank of Beijing,China,2758.5,19966,Xin Qiang,13597,China,Regional Banks,
bank-of-china,6,Bank of China,China,27209.5,143002,Chen Siqing,122027,China,Major Banks,
bank-of-chongqing,1267,Bank of Chongqing,China,505.8,2512,Wei Gan,2733,China,Regional Banks,
bank-of-communications,36,Bank of Communications,China,10601.5,55652,Qing Hua,56985,China,Regional Banks,
bank-of-east-asia,858,Bank of East Asia,Hong Kong,643.8,10066,Kwok Li,3861,Hong Kong,Regional Banks,
bank-of-greece,953,Bank of Greece,Greece,1289.5,218,Yannis Stournaras,2170,Greece,Regional Banks,
bank-of-india,1050,Bank of India,India,329.2,1197,Melwyn Rego,7844,India,Regional Banks,
bank-of-ireland,689,Bank of Ireland,Ireland,1042.4,9375,Richie Boucher,4840,Ireland,Regional Banks,
bank-of-jinzhou,1117,Bank of Jinzhou,China,776.3,4915,Yong Ning,3591,China,Regional Banks,
bank-of-kyoto,1656,Bank of Kyoto,Japan,171.5,2780,Hideo Takasaki,901,Japan,Regional Banks,
bank-of-montreal,143,Bank of Montreal,Canada,3428.4,41789,William Downe,18232,Canada,Major Banks,
